
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2020,D1ELC01,,0.705558,0.374866,0.450137,0.465908,0.608915,0.539725,0.419228,0.482249,0.466474,0.262641,0.761579,0.371408,0.445022,0.460384,0.601603,0.534003,0.414752,0.475218,0.458649,0.259932,0.705734,0.681348,0.449558,0.467053,0.608465,0.540315,0.418638,0.480386,0.466217,0.262962,0.689833,0.367106,0.440208,0.456575,0.595142,0.529779,0.409521,0.467934,0.45512,0.485347
,DRC,2020,D2ELC01,,1.93779,0.731742,0.781114,0.790346,0.873143,0.834368,0.760205,0.797086,0.784,0.666543,1.91562,0.724325,0.77267,0.781649,0.863297,0.825628,0.751879,0.786865,0.774155,0.659511,1.93689,0.731949,0.780763,0.790936,0.872553,0.834455,0.759321,0.795493,0.784239,0.666861,1.89452,0.716188,0.764215,0.773816,0.854498,0.817618,0.743603,0.777708,0.766656,0.652667
,DRC,2021,D1ELC01,,0.821082,0.437012,0.52502,0.543459,0.710653,0.629762,0.488874,0.562545,0.544101,0.305791,0.811724,0.432983,0.519053,0.537014,0.702118,0.623086,0.483654,0.554338,0.534965,0.302638,0.82129,0.437477,0.524344,0.544798,0.710127,0.630452,0.488184,0.560366,0.543801,0.306167,0.802783,0.427968,0.513439,0.532574,0.694578,0.618161,0.477552,0.545836,0.530854,0.299987
,DRC,2021,D2ELC01,,2.24758,0.850167,0.908255,0.919117,1.01653,0.97091,0.883653,0.927042,0.911646,0.773456,2.22187,0.841554,0.898433,0.908997,1.00506,0.960739,0.87397,0.91513,0.900176,0.765296,2.24655,0.85041,0.907842,0.919811,1.01583,0.971012,0.882614,0.925168,0.911927,0.773831,2.1974,0.832097,0.888603,0.899899,0.994823,0.951432,0.86435,0.904474,0.891471,0.757361
,DRC,2022,D1ELC01,,0.944006,0.503207,0.604803,0.626087,0.819086,0.725712,0.563068,0.6481,0.626809,0.351719,0.933247,0.498568,0.597928,0.61866,0.809247,0.718018,0.557056,0.63864,0.616276,0.348092,0.944248,0.503743,0.604022,0.627632,0.818479,0.726508,0.562271,0.645585,0.626462,0.352152,0.922968,0.492793,0.591461,0.613549,0.800557,0.712347,0.550025,0.628839,0.611544,0.345046
,DRC,2022,D2ELC01,,2.57658,0.976057,1.04347,1.05608,1.16913,1.11619,1.01492,1.06527,1.0474,0.887024,2.5471,0.966172,1.03219,1.04445,1.15593,1.1045,1.00379,1.05156,1.0342,0.877664,2.57539,0.976339,1.04299,1.05689,1.16833,1.11631,1.01371,1.0631,1.04773,0.887459,2.51905,0.955313,1.02089,1.034,1.14417,1.09381,0.992744,1.03931,1.02422,0.868572
,DRC,2023,D1ELC01,,2.73623,0.606416,0.689341,0.713645,0.934017,0.827401,0.641677,1.11002,1.09337,0.581805,2.00684,0.568047,0.681505,0.705178,0.922795,0.818629,0.634826,0.956443,1.05024,0.565968,3.0616,0.573943,0.68845,0.715409,0.933324,0.82831,0.640768,0.932033,0.940779,0.400837,2.25143,0.561466,0.674134,0.699355,0.912886,0.812167,0.904636,1.06909,1.1638,0.964465
,DRC,2023,D2ELC01,,2.9242,1.10919,1.18654,1.201,1.33069,1.26996,1.15377,1.21154,1.19104,1.00705,2.89074,1.09796,1.1737,1.18776,1.31566,1.25665,1.14112,1.19592,1.17601,0.996425,2.92286,1.10952,1.18599,1.20192,1.32977,1.27009,1.15239,1.20904,1.19141,1.00755,2.85891,1.08562,1.16086,1.1759,1.30228,1.24451,1.12856,1.18198,1.16467,0.98611
,DRC,2024,D1ELC01,,2.90855,0.689973,0.778499,0.80599,1.05526,0.934664,0.724575,1.24871,1.23256,0.62806,3.03438,0.641308,0.769648,0.796425,1.04258,0.924754,0.716838,1.09533,0.994863,0.538425,1.77836,0.647963,0.777491,0.807985,1.05448,0.935693,0.736828,1.19851,1.08765,0.452143,3.14981,0.633877,0.761324,0.789852,1.03138,0.917459,0.707787,1.31938,1.11425,0.443022
,DRC,2024,D2ELC01,,3.28992,1.24937,1.33721,1.35364,1.50094,1.43196,1.3,1.36561,1.34233,1.13335,3.25227,1.23672,1.32274,1.33871,1.48398,1.41696,1.28574,1.34797,1.32536,1.12139,3.28841,1.24974,1.33659,1.35469,1.49989,1.43212,1.29843,1.36277,1.34275,1.13392,3.21647,1.22282,1.30827,1.32535,1.4689,1.40328,1.27159,1.33226,1.31259,1.10979
,DRC,2025,D1ELC01,,2.30943,0.784434,0.883344,0.902985,1.18263,1.04734,0.811639,1.36254,1.33202,0.683274,3.30522,0.718241,0.862227,0.892268,1.16842,1.03624,0.870642,1.2912,1.22889,0.786818,3.22491,0.725694,0.871014,0.905224,1.18175,1.0485,0.810485,1.19964,1.31798,0.568057,3.06421,0.756013,0.852902,0.884907,1.15587,1.02807,0.792831,1.46807,1.36279,0.841303
,DRC,2025,D2ELC01,,3.67321,1.39638,1.49529,1.51378,1.67964,1.60197,1.45339,1.52726,1.50104,1.26575,3.63118,1.38225,1.4791,1.49709,1.66065,1.58519,1.43744,1.50751,1.48205,1.25239,3.67154,1.39679,1.49459,1.51496,1.67846,1.60214,1.45162,1.52407,1.50152,1.26639,3.59121,1.36671,1.46292,1.48216,1.64378,1.5699,1.42162,1.48993,1.46779,1.23944
,DRC,2026,D1ELC01,,3.47117,0.897602,0.97015,1.0045,1.31596,1.16528,1.05347,1.54988,1.47036,0.881137,2.70267,1.22225,0.959117,0.992575,1.30015,1.15293,1.26941,1.34214,1.25169,0.735631,3.1809,0.807032,0.96889,1.00699,1.31498,1.16657,0.901465,1.34681,1.37196,0.562322,2.96487,0.789487,0.948744,0.98439,1.28619,1.14384,0.881829,1.56907,1.63625,0.924266
,DRC,2026,D2ELC01,,4.07359,1.55003,1.66055,1.68122,1.86654,1.77976,1.61373,1.69627,1.66698,1.40407,4.02698,1.53435,1.64257,1.66267,1.84543,1.76111,1.59602,1.67431,1.64586,1.38925,4.07174,1.5505,1.65977,1.68254,1.86522,1.77995,1.61176,1.6927,1.66751,1.40478,3.98264,1.5171,1.62461,1.6461,1.82669,1.74414,1.57846,1.65478,1.63004,1.37489
,DRC,2027,D1ELC01,,3.62802,1.54611,1.72758,1.72126,2.11028,1.94353,1.65299,1.80479,1.76676,1.27547,3.60901,1.53791,1.71539,1.54988,2.09279,1.92987,1.64233,1.78798,1.74803,1.26908,3.65001,1.55429,1.73341,1.40336,1.98405,1.95217,1.65879,1.80752,1.77336,1.28347,3.59091,1.52768,1.70392,1.48459,2.07735,1.91982,1.62986,1.77056,1.73967,1.26372
,DRC,2027,D2ELC01,,4.49056,1.71015,1.83281,1.85574,2.06142,1.9651,1.78084,1.87244,1.83993,1.54815,4.43918,1.69285,1.81296,1.83526,2.03809,1.94452,1.76129,1.84818,1.8166,1.53181,4.48853,1.71066,1.83193,1.85721,2.05996,1.96532,1.77865,1.86848,1.84052,1.54894,4.39031,1.67381,1.79313,1.81698,2.01741,1.9258,1.74191,1.82661,1.79915,1.51598
,DRC,2028,D1ELC01,,3.79109,1.63426,1.83395,1.87577,2.25503,2.07155,1.75186,1.91888,1.87704,1.33646,3.77023,1.62525,1.82054,1.84759,2.2358,2.05654,1.74015,1.9004,1.85644,1.32944,3.81313,1.64254,1.83964,1.70494,2.26106,2.08034,1.75752,1.92116,1.88358,1.34454,3.75035,1.61401,1.80794,1.77954,2.21883,2.0455,1.72644,1.88125,1.84725,1.32356
,DRC,2028,D2ELC01,,4.92368,1.87654,2.01185,2.03715,2.26406,2.1578,1.95453,2.05557,2.01971,1.69782,4.86734,1.85756,1.99006,2.01467,2.23842,2.13519,1.93306,2.02891,1.99408,1.6799,4.92146,1.8771,2.01089,2.03877,2.26244,2.15804,1.9521,2.05121,2.02036,1.69869,4.81376,1.83667,1.9683,1.99461,2.21572,2.11465,1.91179,2.00523,1.97494,1.66255
,DRC,2029,D1ELC01,,3.96021,1.72573,1.94432,1.9901,2.40525,2.20441,1.85445,2.03728,1.99147,1.39973,3.93742,1.71587,1.92965,1.97425,2.38421,2.18799,1.84164,2.01705,1.96894,1.39205,3.9823,1.7341,1.94986,2.00065,2.41117,2.21335,1.85996,2.03909,1.99794,1.40788,3.9157,1.70358,1.91587,1.96338,2.36565,2.17592,1.82665,1.9961,1.95889,1.38563
,DRC,2029,D2ELC01,,5.37249,2.04903,2.19751,2.22527,2.47423,2.35764,2.1346,2.24547,2.20612,1.85293,5.31102,2.02831,2.1737,2.2007,2.44621,2.33294,2.11115,2.21633,2.1781,1.83337,5.37007,2.04965,2.19645,2.22704,2.47246,2.3579,2.13195,2.24068,2.20684,1.85389,5.25256,2.0055,2.14993,2.1788,2.42141,2.31052,2.08792,2.19045,2.15721,1.81445
,DRC,2030,D1ELC01,,4.13522,1.82041,2.05859,2.10847,2.5608,2.34198,1.96066,2.15985,2.10994,1.4652,4.11043,1.80969,2.04262,2.09121,2.53789,2.32409,1.94672,2.13783,2.0854,1.45685,4.15736,1.82889,2.06398,2.11931,2.5666,2.35107,1.96601,2.16118,2.11635,1.47344,4.08681,1.79631,2.02762,2.07939,2.51768,2.31096,1.9304,2.11501,2.07447,1.44987
,DRC,2030,D2ELC01,,5.83657,2.22746,2.38959,2.4199,2.69174,2.56444,2.3209,2.44196,2.39899,2.01334,5.76979,2.20494,2.36369,2.39317,2.66125,2.53757,2.29539,2.41023,2.3685,1.99209,5.83395,2.22814,2.38843,2.42183,2.68981,2.56473,2.318,2.43673,2.39977,2.01439,5.70628,2.18014,2.33785,2.36937,2.63428,2.51319,2.27014,2.38209,2.3458,1.97153
,DRC,2031,D1ELC01,,4.22751,1.87143,2.12052,2.17268,2.64572,2.41688,2.01809,2.22638,2.17418,1.49994,4.20167,1.86024,2.10384,2.15466,2.62178,2.3982,2.00353,2.20337,2.14855,1.49123,4.24968,1.87997,2.12582,2.18369,2.65145,2.42605,2.02336,2.22744,2.18055,1.50822,4.17705,1.84627,2.08818,2.14232,2.60067,2.38449,1.98649,2.17954,2.13714,1.48395
,DRC,2031,D2ELC01,,6.07129,2.31987,2.49014,2.52197,2.80746,2.67377,2.418,2.54513,2.5,2.095,6.00182,2.29643,2.46315,2.49411,2.77564,2.64576,2.39142,2.51202,2.46819,2.07288,6.06857,2.32059,2.48893,2.52401,2.80543,2.67407,2.41495,2.53964,2.50083,2.09609,5.93576,2.2706,2.43622,2.46933,2.74753,2.62037,2.36511,2.48267,2.44456,2.05151
,DRC,2032,D1ELC01,,4.31816,1.92154,2.18134,2.23575,2.72911,2.49044,2.07449,2.29172,2.23727,1.53405,4.29129,1.90989,2.16397,2.21697,2.70417,2.47098,2.05933,2.26775,2.21056,1.52499,4.34036,1.93013,2.18657,2.24692,2.73478,2.4997,2.07968,2.29251,2.24361,1.54238,4.26567,1.89535,2.14766,2.20412,2.68218,2.45671,2.04158,2.24292,2.19869,1.51743
