
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2020,D3ELC01,,0.0496892,0.0288526,0.0395229,0.0421604,0.0653585,0.053684,0.0399414,0.056111,0.0528803,0.0202241,0.0374896,0.0286294,0.039032,0.0416106,0.0644573,0.0531409,0.0394001,0.0549461,0.0518614,0.020002,0.0379901,0.0289055,0.0394174,0.0423302,0.0651769,0.0537018,0.0396423,0.0556304,0.0529741,0.0203179,0.0371,0.0282772,0.0386406,0.0413712,0.0640076,0.0528727,0.0389997,0.0542558,0.0515988,0.0199089
,DRC,2021,D3ELC01,,0.0733522,0.0426018,0.0583565,0.0622496,0.0964916,0.0792605,0.058966,0.0828261,0.0780564,0.0298531,0.055345,0.0422721,0.0576317,0.0614378,0.0951612,0.0784585,0.0581668,0.0811066,0.0765525,0.0295253,0.0560838,0.0426799,0.0582008,0.0625002,0.0962236,0.0792866,0.0585245,0.0821167,0.0781948,0.0299916,0.0547698,0.0417522,0.0570537,0.0610843,0.0944972,0.0780625,0.0575757,0.0800876,0.0761648,0.0293879
,DRC,2022,D3ELC01,,0.099932,0.0580461,0.0795119,0.0848153,0.131463,0.10799,0.0803357,0.112834,0.106336,0.040669,0.0754013,0.0575969,0.0785244,0.0837093,0.12965,0.106897,0.0792469,0.110492,0.104287,0.0402225,0.0764079,0.0581524,0.119847,0.150694,0.13154,0.108026,0.0797343,0.111868,0.106524,0.0408576,0.0746177,0.0568884,0.0777369,0.0832276,0.128745,0.106358,0.0784416,0.109103,0.103759,0.0400351
,DRC,2023,D3ELC01,,0.129354,0.075142,0.107256,0.109794,0.170173,0.139792,0.103991,0.14605,0.137639,0.0526414,0.0976024,0.0745605,0.104696,0.108363,0.167827,0.138377,0.102581,0.143018,0.134987,0.0520634,0.0989054,0.0752797,0.102655,0.110236,0.169701,0.139838,0.103212,0.1448,0.137883,0.0528855,0.0965881,0.0736433,0.100632,0.107739,0.166656,0.137679,0.101539,0.141222,0.134303,0.0518209
,DRC,2024,D3ELC01,,0.161546,0.0938478,0.128553,0.137126,0.212529,0.174588,0.129873,0.182394,0.171889,0.065741,0.121894,0.0931215,0.126956,0.135337,0.209599,0.172821,0.128113,0.178608,0.168577,0.0650191,0.123521,0.0940197,0.12821,0.137678,0.211939,0.174646,0.128901,0.180832,0.172193,0.0660458,0.120627,0.091976,0.125683,0.134559,0.208136,0.171949,0.126811,0.176364,0.167723,0.0647163
,DRC,2025,D3ELC01,,0.196439,0.114123,0.156326,0.16675,0.258438,0.212303,0.157926,0.221786,0.209011,0.0799393,0.148223,0.11324,0.154384,0.164575,0.254875,0.210155,0.155786,0.217182,0.204985,0.0790615,0.150202,0.114332,0.155909,0.167421,0.25772,0.212373,0.156744,0.219887,0.209382,0.08031,0.146683,0.111847,0.152836,0.163628,0.253096,0.209094,0.154203,0.214454,0.203946,0.0786933
,DRC,2026,D3ELC01,,0.233965,0.135928,0.186194,0.198609,0.307811,0.252865,0.188096,0.264151,0.248936,0.0952091,0.176539,0.134876,0.183882,0.19602,0.303567,0.250306,0.185547,0.258668,0.24414,0.0941636,0.178896,0.136177,0.185698,0.199409,0.306956,0.252948,0.186689,0.261889,0.249377,0.0956505,0.174704,0.133217,0.182038,0.194891,0.301449,0.249042,0.183662,0.255418,0.242903,0.0937251
,DRC,2027,D3ELC01,,0.274058,0.159226,0.218107,0.23265,0.360563,0.296203,0.220332,0.309415,0.291592,0.111524,0.206793,0.157993,0.215399,0.229616,0.355592,0.293205,0.217346,0.302992,0.285974,0.110299,0.209553,0.159518,0.217526,0.233586,0.359562,0.2963,0.218683,0.306765,0.292109,0.112041,0.204644,0.15605,0.213238,0.228294,0.353111,0.291725,0.215137,0.299185,0.284526,0.109785
,DRC,2028,D3ELC01,,0.316657,0.183979,0.252014,0.268817,0.416611,0.342248,0.254581,0.357507,0.336913,0.128858,0.238937,0.182555,0.248884,0.265312,0.410868,0.338785,0.251131,0.350085,0.330422,0.127443,0.242127,0.184316,0.251342,0.269899,0.415455,0.342361,0.252675,0.354445,0.337511,0.129455,0.236454,0.18031,0.246388,0.263784,0.408,0.337074,0.248579,0.345687,0.328749,0.126849
,DRC,2029,D3ELC01,,0.3617,0.210153,0.287867,0.307059,0.475875,0.390935,0.290795,0.408358,0.384835,0.147186,0.272925,0.208526,0.284292,0.303055,0.469315,0.38698,0.286854,0.399881,0.37742,0.14557,0.276569,0.210538,0.287099,0.308295,0.474554,0.391064,0.288619,0.404861,0.385517,0.147869,0.270089,0.205961,0.281441,0.301311,0.466039,0.385025,0.283939,0.394857,0.375509,0.144892
