
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2020,D3ELC01,,0.0496892,0.0288526,0.0395229,0.0421604,0.0653585,0.053684,0.0399414,0.056111,0.0528803,0.0202241,0.0374896,0.0286294,0.039032,0.0416106,0.0644573,0.0531409,0.0394001,0.0549461,0.0518614,0.020002,0.0379901,0.0289055,0.0394174,0.0423302,0.0651769,0.0537018,0.0396423,0.0556304,0.0529741,0.0203179,0.0371,0.0282772,0.0386406,0.0413712,0.0640076,0.0528727,0.0389997,0.0542558,0.0515988,0.0199089
,DRC,2021,D3ELC01,,0.105876,0.0694792,0.0948769,0.100083,0.146485,0.12418,0.0883308,0.114032,0.106775,0.0412029,0.0817127,0.0688995,0.0937184,0.0988162,0.144517,0.122906,0.0871654,0.111695,0.104739,0.0407477,0.0827933,0.0695794,0.0946687,0.100422,0.146123,0.124211,0.0877447,0.113084,0.10696,0.041388,0.0808637,0.0680653,0.0927603,0.0981668,0.143435,0.122187,0.0862698,0.110299,0.104191,0.040547
,DRC,2022,D3ELC01,,0.161096,0.109407,0.149279,0.157009,0.261771,0.193464,0.135888,0.170958,0.159742,0.0618208,0.125175,0.108477,0.147464,0.155038,0.260017,0.191471,0.134109,0.167468,0.156706,0.0611365,0.126826,0.109554,0.14897,0.331244,0.289141,0.206077,0.13502,0.169549,0.160017,0.0620956,0.123875,0.109794,0.145949,0.153985,0.23899,0.190309,0.132727,0.165378,0.155878,0.0608302
,DRC,2023,D3ELC01,,0.215375,0.148654,0.202753,0.212964,0.304588,0.261567,0.182634,0.226912,0.211807,0.0820871,0.167897,0.14738,0.200293,0.210301,0.30054,0.258867,0.180252,0.22229,0.207788,0.0811777,0.170108,0.148846,0.202345,0.213634,0.303873,0.261623,0.181489,0.225052,0.21217,0.0824502,0.166152,0.145606,0.251572,0.208852,0.298227,0.25727,0.178392,0.219519,0.206684,0.0807674
,DRC,2024,D3ELC01,,0.268736,0.187237,0.255323,0.267973,0.381635,0.328518,0.22859,0.281921,0.262991,0.102011,0.209896,0.185624,0.25223,0.26463,0.376573,0.325124,0.225615,0.276186,0.258006,0.10088,0.212658,0.187475,0.263438,0.268804,0.380748,0.328587,0.227172,0.279615,0.263441,0.102461,0.207715,0.183393,0.251572,0.281685,0.373661,0.323098,0.223284,0.272743,0.256631,0.100368
,DRC,2025,D3ELC01,,0.321202,0.225174,0.307012,0.32206,0.45739,0.394346,0.273775,0.336007,0.313317,0.1216,0.251191,0.223228,0.303295,0.318047,0.451332,0.39027,0.270218,0.329177,0.307382,0.120252,0.254494,0.225455,0.30641,0.32305,0.456334,0.394427,0.272089,0.333265,0.313852,0.122136,0.248581,0.220547,0.300165,0.315826,0.447829,0.387823,0.267424,0.325076,0.305741,0.119639
,DRC,2026,D3ELC01,,0.372796,0.26248,0.357842,0.375248,0.531885,0.45908,0.318209,0.389194,0.362806,0.140864,0.291799,0.260206,0.353511,0.370577,0.524847,0.454332,0.314079,0.381287,0.355936,0.139302,0.295635,0.262805,0.357145,0.376393,0.530663,0.459173,0.316259,0.386022,0.363425,0.141483,0.288767,0.257082,0.349861,0.367979,0.520764,0.451472,0.310831,0.376538,0.354034,0.13859
,DRC,2027,D3ELC01,,0.42354,0.29917,0.407833,0.427559,0.605152,0.522747,0.36191,0.441503,0.411479,0.159811,0.331738,0.296575,0.402899,0.42224,0.59715,0.517338,0.357216,0.432539,0.403691,0.158038,0.336098,0.299538,0.407044,0.428857,0.603766,0.522851,0.359702,0.437909,0.41218,0.160512,0.328291,0.293016,0.398738,0.419272,0.592497,0.514071,0.353521,0.427151,0.40153,0.157229
,DRC,2028,D3ELC01,,0.473453,0.335261,0.457006,0.479014,0.677221,0.585372,0.404897,0.492958,0.459356,0.178447,0.371023,0.332349,0.45148,0.473059,0.668271,0.579314,0.399649,0.482951,0.450664,0.176467,0.375899,0.33567,0.456126,0.480462,0.675674,0.585488,0.402433,0.488947,0.460138,0.179229,0.367168,0.328361,0.446815,0.469726,0.663056,0.575646,0.395513,0.476937,0.44825,0.175563
,DRC,2029,D3ELC01,,0.522556,0.370765,0.505382,0.529634,0.74812,0.646981,0.447186,0.543577,0.506456,0.196781,0.409671,0.367542,0.499272,0.523053,0.738237,0.640284,0.441392,0.532547,0.496875,0.194597,0.415054,0.371217,0.504412,0.531231,0.746415,0.647109,0.444471,0.539158,0.507319,0.197643,0.405415,0.363133,0.494112,0.519362,0.73247,0.636222,0.436824,0.525915,0.494212,0.193599
,DRC,2030,D3ELC01,,0.57087,0.405699,0.552979,0.57944,0.817879,0.707599,0.488795,0.593382,0.552799,0.21482,0.447697,0.402169,0.546295,0.572242,0.807078,0.700273,0.482464,0.581343,0.542342,0.212436,0.453579,0.406191,0.551921,0.581182,0.816018,0.707738,0.485833,0.58856,0.553739,0.215761,0.443046,0.397346,0.540648,0.568199,0.800768,0.695823,0.47747,0.574105,0.539434,0.211345
,DRC,2031,D3ELC01,,0.66336,0.484336,0.659772,0.689851,0.962038,0.838038,0.57319,0.680605,0.632843,0.246576,0.523186,0.480066,0.651823,0.681334,0.94941,0.829337,0.565815,0.66685,0.620911,0.243834,0.530043,0.484887,0.658568,0.69184,0.959915,0.838188,0.569831,0.675124,0.633913,0.247645,0.51775,0.474326,0.645061,0.676411,0.941879,0.823928,0.559943,0.658559,0.61755,0.242563
,DRC,2032,D3ELC01,,0.754386,0.561727,0.764872,0.798513,1.10391,0.966411,0.656249,0.766446,0.711621,0.277829,0.597479,0.556729,0.755679,0.788699,1.08949,0.956356,0.647845,0.751002,0.698234,0.274736,0.605296,0.562336,0.763527,0.800744,1.10153,0.966573,0.652499,0.760316,0.712817,0.279025,0.591272,0.550087,0.74782,0.782909,1.08075,0.950003,0.64111,0.741676,0.694429,0.273287
