
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2033,D3ELC01,,0.345712,0.165021,0.227376,0.247575,0.42249,0.329788,0.263494,0.415067,0.394257,0.149147,0.252658,0.163933,0.224463,0.244173,0.416435,0.326531,0.259781,0.406315,0.386567,0.147521,0.256077,0.165445,0.226568,0.248857,0.421118,0.329943,0.261185,0.411386,0.394975,0.149865,0.250032,0.161856,0.222293,0.24313,0.413856,0.325324,0.257185,0.401179,0.384688,0.146883
,DRC,2034,D3ELC01,,0.36596,0.173239,0.238764,0.260221,0.445928,0.347332,0.278343,0.440376,0.418416,0.158224,0.267124,0.172105,0.235701,0.256637,0.439527,0.343906,0.274414,0.431086,0.410251,0.1565,0.270741,0.17369,0.237906,0.261582,0.444472,0.347497,0.275889,0.436466,0.419178,0.158987,0.264348,0.169923,0.233427,0.255559,0.43682,0.342655,0.271674,0.425635,0.408259,0.155825
,DRC,2035,D3ELC01,,0.385894,0.18133,0.249976,0.272672,0.469004,0.364604,0.292962,0.465294,0.4422,0.167161,0.281367,0.180152,0.246765,0.268909,0.462262,0.361011,0.288822,0.455473,0.433568,0.16534,0.285178,0.181808,0.249068,0.274111,0.467464,0.36478,0.290366,0.461159,0.443007,0.167968,0.278442,0.177865,0.244388,0.267795,0.459429,0.359717,0.28594,0.449713,0.431466,0.164629
,DRC,2036,D3ELC01,,0.405523,0.189296,0.261016,0.284931,0.491725,0.381612,0.307357,0.48983,0.46562,0.17596,0.295391,0.188075,0.25766,0.280992,0.484649,0.377854,0.303008,0.479486,0.456527,0.174044,0.299394,0.1898,0.26006,0.286447,0.490104,0.381797,0.304621,0.485472,0.46647,0.176811,0.292321,0.185684,0.255181,0.279843,0.48169,0.376517,0.299986,0.473421,0.454316,0.173297
,DRC,2037,D3ELC01,,0.424853,0.197141,0.271888,0.297004,0.514101,0.39836,0.321533,0.513992,0.488682,0.184626,0.309202,0.195877,0.268388,0.292891,0.506694,0.394441,0.316978,0.503133,0.479137,0.182615,0.313393,0.197671,0.270883,0.298595,0.512398,0.398555,0.318659,0.509415,0.489575,0.185519,0.305988,0.193385,0.265809,0.291708,0.503612,0.393062,0.313818,0.496769,0.476819,0.181833
,DRC,2038,D3ELC01,,0.44389,0.204868,0.282596,0.308894,0.536138,0.414855,0.335494,0.537788,0.511396,0.19316,0.322803,0.203561,0.278954,0.30461,0.528406,0.410777,0.330737,0.526423,0.501404,0.191057,0.327181,0.205423,0.281544,0.31056,0.534355,0.41506,0.332484,0.532996,0.512331,0.194095,0.319448,0.200969,0.276277,0.303393,0.525203,0.409356,0.327442,0.519763,0.498981,0.19024
,DRC,2039,D3ELC01,,0.462642,0.212478,0.293142,0.320606,0.557844,0.431103,0.349246,0.561227,0.53377,0.201567,0.336201,0.21113,0.289362,0.316153,0.549792,0.426867,0.34429,0.549364,0.523338,0.199373,0.340762,0.213059,0.292044,0.322345,0.555983,0.431317,0.346102,0.556223,0.534746,0.202543,0.332706,0.20844,0.286588,0.314903,0.54647,0.425406,0.34086,0.542412,0.52081,0.198521
,DRC,2040,D3ELC01,,0.481114,0.219976,0.303532,0.332144,0.579227,0.447108,0.362793,0.584317,0.55581,0.209848,0.349399,0.218587,0.299615,0.327524,0.570859,0.442718,0.35764,0.571962,0.544945,0.207564,0.35414,0.220581,0.302388,0.333954,0.577289,0.447332,0.359517,0.579104,0.556827,0.210865,0.345767,0.215799,0.29862,0.326242,0.56742,0.441217,0.354079,0.564724,0.542315,0.206679
,DRC,2041,D3ELC01,,0.494988,0.225274,0.310893,0.340383,0.594988,0.458723,0.372834,0.60189,0.572609,0.216146,0.359236,0.223859,0.306877,0.335643,0.586385,0.454221,0.367534,0.589159,0.561413,0.213794,0.364112,0.225899,0.309713,0.342249,0.592991,0.458954,0.369457,0.596516,0.573657,0.217195,0.355501,0.221001,0.303941,0.334342,0.582862,0.452696,0.363876,0.581703,0.558706,0.212884
,DRC,2042,D3ELC01,,0.508659,0.230495,0.318145,0.348502,0.610517,0.470167,0.382728,0.619204,0.589161,0.222352,0.368928,0.229053,0.314033,0.343643,0.601682,0.465556,0.377283,0.606104,0.577639,0.219933,0.373937,0.231138,0.316931,0.350422,0.608461,0.470405,0.379251,0.613673,0.590241,0.223432,0.365093,0.226128,0.311031,0.342323,0.598078,0.464007,0.373529,0.598432,0.574856,0.218998
,DRC,2043,D3ELC01,,0.528176,0.238368,0.329058,0.36063,0.633066,0.487019,0.397022,0.643634,0.612483,0.231113,0.382862,0.236884,0.324802,0.355596,0.623898,0.482245,0.391369,0.630014,0.600503,0.228599,0.388061,0.239038,0.327795,0.362627,0.630929,0.487267,0.393405,0.637881,0.613606,0.232236,0.378882,0.233856,0.3217,0.354243,0.620171,0.480654,0.387477,0.622038,0.597612,0.227628
,DRC,2044,D3ELC01,,0.545552,0.245271,0.338632,0.371291,0.653044,0.501891,0.409704,0.665456,0.633325,0.238938,0.395242,0.24375,0.334249,0.366103,0.643581,0.496974,0.403867,0.651371,0.620935,0.236339,0.40061,0.245964,0.337326,0.373356,0.650834,0.502149,0.405963,0.659505,0.634486,0.240099,0.391133,0.240632,0.331059,0.364721,0.639745,0.495349,0.399851,0.643124,0.617947,0.235336
,DRC,2045,D3ELC01,,0.562927,0.252173,0.348206,0.381952,0.673023,0.516764,0.422386,0.687279,0.654166,0.246763,0.407622,0.250616,0.343696,0.376609,0.663263,0.511703,0.416365,0.672728,0.641366,0.244079,0.41316,0.25289,0.346856,0.384085,0.67074,0.51703,0.41852,0.68113,0.655366,0.247963,0.403385,0.247408,0.340419,0.3752,0.65932,0.510043,0.412226,0.664211,0.638282,0.243045
,DRC,2046,D3ELC01,,0.580303,0.259076,0.357779,0.392613,0.693002,0.531636,0.435069,0.709101,0.675008,0.254588,0.420002,0.257482,0.353142,0.387116,0.682946,0.526432,0.428863,0.694086,0.661798,0.251819,0.42571,0.259816,0.356386,0.394815,0.690645,0.531911,0.431078,0.702754,0.676247,0.255826,0.415636,0.254185,0.349778,0.385678,0.678894,0.524737,0.424601,0.685297,0.658617,0.250753
,DRC,2047,D3ELC01,,0.597678,0.265979,0.367353,0.403274,0.71298,0.546508,0.447751,0.730924,0.69585,0.262413,0.432382,0.264348,0.362589,0.397622,0.702629,0.541161,0.441361,0.715443,0.68223,0.259559,0.438259,0.266742,0.365916,0.405544,0.710551,0.546793,0.443635,0.724378,0.697127,0.26369,0.427888,0.260961,0.359138,0.396156,0.698469,0.539431,0.436976,0.706383,0.678952,0.258461
