
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,DRC,2033,D3ELC01,,0.544506,0.316422,0.433432,0.462321,0.716437,0.588586,0.437787,0.614706,0.579291,0.221562,0.410876,0.313972,0.428049,0.456293,0.70656,0.58263,0.431855,0.601945,0.568131,0.219129,0.416361,0.317001,0.432276,0.464181,0.714448,0.58878,0.434511,0.609442,0.580319,0.222589,0.406606,0.310111,0.423756,0.453666,0.701628,0.579687,0.427466,0.594383,0.565253,0.218108
,DRC,2034,D3ELC01,,0.588224,0.34184,0.468249,0.499458,0.773972,0.635859,0.472943,0.664053,0.625794,0.239348,0.443869,0.339194,0.462434,0.492945,0.763302,0.629425,0.466534,0.650268,0.613737,0.23672,0.449794,0.342466,0.467001,0.501467,0.771824,0.636069,0.469404,0.658366,0.626904,0.240458,0.439256,0.335022,0.457796,0.490107,0.757974,0.626245,0.461793,0.642098,0.610629,0.235618
,DRC,2035,D3ELC01,,0.631267,0.366865,0.502528,0.536019,0.830617,0.682401,0.507554,0.712636,0.671577,0.25686,0.476351,0.364025,0.496287,0.52903,0.819166,0.675496,0.500676,0.697843,0.658639,0.254039,0.48271,0.367537,0.501188,0.538176,0.828311,0.682627,0.503757,0.706533,0.672768,0.258051,0.471401,0.359548,0.491309,0.525984,0.813448,0.672084,0.495588,0.689076,0.655303,0.252856
,DRC,2036,D3ELC01,,0.673649,0.391506,0.53628,0.57202,0.886392,0.728229,0.541635,0.760474,0.716658,0.274102,0.508335,0.388475,0.52962,0.564562,0.874172,0.72086,0.534295,0.744687,0.702851,0.271092,0.515121,0.392223,0.534851,0.574321,0.883932,0.728469,0.537582,0.753961,0.717929,0.275373,0.503052,0.383697,0.524309,0.561311,0.86807,0.717218,0.528865,0.735332,0.699291,0.26983
,DRC,2037,D3ELC01,,0.715385,0.415772,0.569519,0.607472,0.941317,0.773359,0.575196,0.807583,0.761052,0.291082,0.539831,0.412553,0.562446,0.599552,0.928341,0.765533,0.567401,0.790818,0.746389,0.287886,0.547037,0.416533,0.568001,0.609916,0.938705,0.773614,0.570892,0.800667,0.762401,0.292432,0.534221,0.407479,0.556805,0.596099,0.92186,0.761665,0.561635,0.780883,0.742609,0.286545
,DRC,2038,D3ELC01,,0.756491,0.439671,0.602255,0.642388,0.995412,0.817806,0.608249,0.853979,0.804774,0.307805,0.570851,0.436267,0.594775,0.634012,0.98169,0.809531,0.600007,0.836252,0.78927,0.304425,0.578472,0.440476,0.600649,0.644972,0.99265,0.818076,0.603699,0.846666,0.806201,0.309232,0.564919,0.430901,0.58881,0.630361,0.974837,0.80544,0.59391,0.825746,0.785272,0.303007
,DRC,2039,D3ELC01,,0.796979,0.463211,0.634499,0.67678,1.0487,0.861586,0.640807,0.89968,0.847841,0.324278,0.601406,0.459625,0.62662,0.667956,1.03424,0.852868,0.632124,0.881004,0.831506,0.320717,0.609434,0.464059,0.632808,0.679503,1.04579,0.861871,0.636013,0.891975,0.849344,0.325781,0.595156,0.453971,0.620335,0.66411,1.02702,0.848559,0.6257,0.869936,0.827295,0.319223
,DRC,2040,D3ELC01,,0.836864,0.4864,0.666264,0.71066,1.10119,0.904715,0.67288,0.9447,0.890266,0.340504,0.631505,0.482635,0.657989,0.701395,1.08601,0.89556,0.663762,0.925089,0.873114,0.336765,0.639935,0.487291,0.664488,0.713519,1.09813,0.905013,0.667846,0.93661,0.891845,0.342083,0.624943,0.476698,0.65139,0.697355,1.07842,0.891035,0.657017,0.913467,0.868692,0.335197
,DRC,2041,D3ELC01,,0.872076,0.506878,0.694314,0.740578,1.14753,0.942796,0.701197,0.98444,0.927715,0.354828,0.658079,0.502954,0.685691,0.730922,1.13171,0.933256,0.691695,0.964004,0.909842,0.350932,0.666864,0.507806,0.692463,0.743557,1.14435,0.943107,0.695951,0.97601,0.92936,0.356473,0.65124,0.496768,0.678814,0.726713,1.12381,0.928541,0.684666,0.951893,0.905234,0.349297
,DRC,2042,D3ELC01,,0.906771,0.527056,0.721953,0.770057,1.19319,0.98032,0.729098,1.0236,0.964615,0.368942,0.684263,0.522976,0.712987,0.760017,1.17675,0.9704,0.719219,1.00235,0.946031,0.364891,0.693398,0.528021,0.720028,0.773154,1.18988,0.980643,0.723644,1.01483,0.966325,0.370653,0.677152,0.516543,0.705836,0.755639,1.16853,0.965496,0.71191,0.989756,0.941239,0.363191
