,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Residential,413.14,514.132,615.124,716.116,817.108,918.1,1084.714,1251.328,1417.942,1584.556,1751.17
Health,3.48,4.334,5.188,6.042,6.895999999999999,7.75,9.158,10.565999999999999,11.974,13.382,14.79
Education,4.73,5.92,7.11,8.3,9.49,10.68,12.646,14.612,16.578000000000003,18.544,20.51
Commercial,56.18,69.914,83.648,97.382,111.11599999999999,124.85,147.51,170.17000000000002,192.83,215.49,238.15
Agriculture,61.96,77.11,92.26,107.41,122.56,137.71,162.70000000000002,187.69,212.68,237.67000000000002,262.66
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,539.5,671.418,803.336,935.2539999999999,1067.172,1199.09,1416.728,1634.366,1852.0040000000001,2069.6420000000003,2287.28
