,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Residential,2774.85,3024.4539999999997,3274.058,3523.662,3773.2659999999996,4022.87,4211.912,4400.954,4589.996,4779.038,4968.08
Health,13.94,15.196,16.451999999999998,17.708,18.964,20.22,21.204,22.188,23.172,24.156,25.14
Education,19.44,21.19,22.94,24.69,26.44,28.19,29.844,31.498,33.152,34.806,36.46
Commercial,565.87,616.7860000000001,667.702,718.618,769.5340000000001,820.45,859.0120000000001,897.5740000000001,936.136,974.698,1013.26
Agriculture,1664.34,1814.086,1963.8319999999999,2113.578,2263.324,2413.07,2526.4900000000002,2639.9100000000003,2753.33,2866.75,2980.17
Industrial,3139.55,3418.442,3697.3340000000003,3976.226,4255.118,4534.01,4703.146,4872.282,5041.418,5210.554,5379.69
Total,8178.0,8910.162,9642.324,10374.486,11106.648,11838.81,12351.606,12864.402,13377.198,13889.994,14402.79
